
Māori Name	    English Meaning / Association
Matariki	    The mother of the cluster; "Eyes of God" or "Tiny Eyes"
Pōhutukawa	    Connects with those who have passed on
Tupuānuku	    Associated with food grown in the ground
Tupuārangi	    Associated with food from the sky (birds, fruits)
Waitī	        Associated with fresh water and the creatures in it
Waitā	        Associated with the ocean and its food
Waipuna-ā-rangi	Associated with rain and weather
Ururangi	    Associated with the winds
Hiwa-i-te-rangi	The wishing star; associated with aspirations and the future

https://app-test-3f9ba--my-preview-2plmdoh0.web.app/
